player_id,name,team,position,value,predicted_points,gw,position_name
736,Donnarumma,Man City,1,5.7,6.131932615963466,11,GK
430,Haaland,Man City,4,14.8,5.9012441501024915,11,FWD
408,Rúben,Man City,2,5.5,5.8715942155224035,11,DEF
119,Mbeumo,Man Utd,3,8.4,5.812416650415819,11,MID
457,Casemiro,Man Utd,3,5.5,4.8281881116976395,11,MID
612,L.Paquetá,West Ham,3,5.9,4.788969723423332,11,MID
236,Neto,Chelsea,3,7.1,4.685150055403649,11,MID
373,Virgil,Liverpool,2,5.9,4.682152455874414,11,DEF
287,Pickford,Everton,1,5.5,4.551928223290291,11,GK
668,Xhaka,Sunderland,3,5.1,4.35877410249071,11,MID
5,Gabriel,Arsenal,2,6.6,4.347662742518056,11,DEF
714,Woltemade,Newcastle,4,7.5,4.1722431649772735,11,FWD
709,Krejčí,Wolves,2,4.5,4.037690773711732,11,DEF
256,Muñoz,Crystal Palace,2,5.7,3.9808114307002893,11,DEF
337,Raúl,Fulham,4,6.2,3.2145346834351427,11,FWD
